Source,Target,Weight,Type
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_ Guerra_Granada,18,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_epístolas,16,undirected
Cervantes_Salazar_cronica_ nueva_españa,Hurtado_sátiras,6,undirected
Cervantes_Salazar_cronica_ nueva_españa,lazarillo_tormes,14,undirected
Hurtado_ cartas,Hurtado_canciones,4,undirected
Hurtado_ cartas,Hurtado_églogas,8,undirected
Hurtado_ cartas,Hurtado_epístolas,30,undirected
Hurtado_ cartas,Hurtado_poesías_satírico_burlescas,3,undirected
Hurtado_ cartas,Hurtado_poesías_varias,36,undirected
Hurtado_ cartas,Hurtado_sonetos,6,undirected
Hurtado_ Guerra_Granada,Cervantes_Salazar_cronica_ nueva_españa,18,undirected
Hurtado_ Guerra_Granada,Hurtado_epístolas,6,undirected
Hurtado_ Guerra_Granada,lazarillo_tormes,12,undirected
Hurtado_canciones,Hurtado_ cartas,4,undirected
Hurtado_canciones,Hurtado_églogas,33,undirected
Hurtado_canciones,Hurtado_elegías,9,undirected
Hurtado_canciones,Hurtado_epístolas,1,undirected
Hurtado_canciones,Hurtado_fábulas,6,undirected
Hurtado_canciones,Hurtado_octavas,13,undirected
Hurtado_canciones,Hurtado_poesías_varias,4,undirected
Hurtado_canciones,Hurtado_sonetos,21,undirected
Hurtado_églogas,Hurtado_ cartas,8,undirected
Hurtado_églogas,Hurtado_canciones,33,undirected
Hurtado_églogas,Hurtado_elegías,19,undirected
Hurtado_églogas,Hurtado_octavas,2,undirected
Hurtado_églogas,Hurtado_poesías_varias,1,undirected
Hurtado_églogas,Hurtado_sátiras,1,undirected
Hurtado_églogas,Hurtado_sonetos,13,undirected
Hurtado_elegías,Hurtado_canciones,9,undirected
Hurtado_elegías,Hurtado_églogas,19,undirected
Hurtado_elegías,Hurtado_fábulas,8,undirected
Hurtado_elegías,Hurtado_octavas,14,undirected
Hurtado_elegías,Hurtado_sonetos,6,undirected
Hurtado_epístolas,Cervantes_Salazar_cronica_ nueva_españa,16,undirected
Hurtado_epístolas,Hurtado_ cartas,30,undirected
Hurtado_epístolas,Hurtado_ Guerra_Granada,6,undirected
Hurtado_epístolas,Hurtado_canciones,1,undirected
Hurtado_epístolas,Hurtado_fábulas,18,undirected
Hurtado_epístolas,Hurtado_poesías_satírico_burlescas,18,undirected
Hurtado_epístolas,Hurtado_poesías_varias,24,undirected
Hurtado_epístolas,Hurtado_sátiras,10,undirected
Hurtado_epístolas,Hurtado_sonetos,21,undirected
Hurtado_epístolas,lazarillo_tormes,18,undirected
Hurtado_epístolas,Valdés_A_dialogo_cosas_acaecidas_roma,1,undirected
Hurtado_epístolas,Valdés_A_dialogo_mercurio_carón,6,undirected
Hurtado_epístolas,Valdés_J_ dialogo_lengua,16,undirected
Hurtado_fábulas,Hurtado_canciones,6,undirected
Hurtado_fábulas,Hurtado_elegías,8,undirected
Hurtado_fábulas,Hurtado_epístolas,18,undirected
Hurtado_fábulas,Hurtado_sonetos,4,undirected
Hurtado_octavas,Hurtado_canciones,13,undirected
Hurtado_octavas,Hurtado_églogas,2,undirected
Hurtado_octavas,Hurtado_elegías,14,undirected
Hurtado_octavas,Hurtado_sonetos,10,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_ cartas,3,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_epístolas,18,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_poesías_varias,4,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_sátiras,16,undirected
Hurtado_poesías_satírico_burlescas,Hurtado_sonetos,11,undirected
Hurtado_poesías_satírico_burlescas,lazarillo_tormes,8,undirected
Hurtado_poesías_satírico_burlescas,Valdés_J_ dialogo_lengua,7,undirected
Hurtado_poesías_varias,Hurtado_ cartas,36,undirected
Hurtado_poesías_varias,Hurtado_canciones,4,undirected
Hurtado_poesías_varias,Hurtado_églogas,1,undirected
Hurtado_poesías_varias,Hurtado_epístolas,24,undirected
Hurtado_poesías_varias,Hurtado_poesías_satírico_burlescas,4,undirected
Hurtado_poesías_varias,Hurtado_sonetos,13,undirected
Hurtado_sátiras,Cervantes_Salazar_cronica_ nueva_españa,6,undirected
Hurtado_sátiras,Hurtado_églogas,1,undirected
Hurtado_sátiras,Hurtado_epístolas,10,undirected
Hurtado_sátiras,Hurtado_poesías_satírico_burlescas,16,undirected
Hurtado_sátiras,Hurtado_sonetos,9,undirected
Hurtado_sonetos,Hurtado_ cartas,6,undirected
Hurtado_sonetos,Hurtado_canciones,21,undirected
Hurtado_sonetos,Hurtado_églogas,13,undirected
Hurtado_sonetos,Hurtado_elegías,6,undirected
Hurtado_sonetos,Hurtado_epístolas,21,undirected
Hurtado_sonetos,Hurtado_fábulas,4,undirected
Hurtado_sonetos,Hurtado_octavas,10,undirected
Hurtado_sonetos,Hurtado_poesías_satírico_burlescas,11,undirected
Hurtado_sonetos,Hurtado_poesías_varias,13,undirected
Hurtado_sonetos,Hurtado_sátiras,9,undirected
lazarillo_tormes,Cervantes_Salazar_cronica_ nueva_españa,14,undirected
lazarillo_tormes,Hurtado_ Guerra_Granada,12,undirected
lazarillo_tormes,Hurtado_epístolas,18,undirected
lazarillo_tormes,Hurtado_poesías_satírico_burlescas,8,undirected
lazarillo_tormes,Valdés_A_dialogo_cosas_acaecidas_roma,12,undirected
lazarillo_tormes,Valdés_A_dialogo_mercurio_carón,22,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Hurtado_epístolas,1,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,lazarillo_tormes,12,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Valdés_A_dialogo_mercurio_carón,36,undirected
Valdés_A_dialogo_cosas_acaecidas_roma,Valdés_J_ dialogo_lengua,18,undirected
Valdés_A_dialogo_mercurio_carón,Hurtado_epístolas,6,undirected
Valdés_A_dialogo_mercurio_carón,lazarillo_tormes,22,undirected
